gene	mean	median	longest_isoform	merged
RXFP1	3641	3721	4300	5291
CBLB	6586	6579	6974	7927
ATP6V0A4	3086	3091	3136	3357
BTBD11	4703	4636	5746	5928
SLC50A1	1222	1232	1364	1687
SYTL5	4766	4751	4842	4912
ELSPBP1	1079	1079	1079	1079
PARVG	3475	3475	3488	3724
EPB41L4A	3836	4184	4715	7713
MYOG	1507	1507	1507	1507
HSFY1	1313	1427	1476	4586
HSFY2	1326	1444	1496	4620
SSC5D	4070	4070	4977	5201
MICAL2	4118	3929	6626	7962
ARHGAP11A	4690	5201	5876	6280
MEP1A	2893	2893	2893	2893
DDX60L	6039	6762	6781	7216
ZRSR2	1511	1511	1511	1511
OR2V2	948	948	948	948
PTENP1	3917	3917	3917	3917
ETV1	6327	6298	6567	7642
THBS3	3065	3137	3202	3316
LMO7	6795	6752	7237	9248
CYB561A3	2676	2814	3211	3688
LINC01354	2860	2860	2860	2860
NDRG3	2883	2935	2971	2971
TJAP1	2675	2672	2814	3329
UTP15	5018	5038	5096	5098
GGA3	3676	3807	4026	4108
SNX29	5014	5014	8173	8360
ZNF394	1814	2036	2163	2635
DSEL	9266	9266	9266	9266
PCGF6	2123	2123	2236	2236
USP44	3891	3889	4128	4888
STXBP5L	8402	9357	9676	11347
METTL8	9686	9770	9964	10218
AFAP1L2	4020	4044	4295	4520
MDK	941	951	1176	1669
C12orf54	904	904	904	904
CLK3	2271	2271	2696	2751
SYTL3	2518	2504	2896	3119
INTS6L	3538	3617	3931	3931
FAM25G	334	334	335	1003
EPC1	2935	3861	4101	4892
MDH2	1702	2022	2170	2642
UBL7	1482	1430	1806	1891
TMSB15B	1461	1216	2762	3281
MOB1B	5337	6930	7042	8505
MCAT	1924	1875	2057	2094
PDE8A	3858	3779	4035	4254
MIR555	96	96	96	96
POU5F1P4	1083	1083	1083	1083
ASH1L-AS1	1074	1074	1209	1209
ADSL	2227	1761	4359	4661
ZNF106	9525	9479	10881	11191
PIF1	2575	2678	2690	2690
ATF7IP	7848	8808	8878	10467
IL17B	715	715	719	807
SEC24B	4785	4743	5070	5263
STAG3	4169	4196	4296	4387
UFM1	3207	3204	3340	4071
MSTO2P	2232	2232	2233	4464
AGO3	19530	19530	19659	19659
CDK8	3042	3060	3063	3063
NIP7	2116	2116	2178	2319
SCARNA26A	148	148	148	148
C1orf122	1257	1257	1329	1329
SIGIRR	1684	1670	1743	1847
SYK	5042	5015	5235	5464
GON4L	6694	7742	7775	8387
GAGE12F	598	598	598	2990
BCL10	2815	2815	2832	2832
DMD	8095	7339	14083	15515
C12orf40	2501	2776	3096	4431
PDZRN4	3750	3750	4102	4377
SCARNA26B	149	149	149	149
SCARNA4	129	129	129	129
FOXG1	3491	3491	3491	3491
NDOR1	4795	4820	4850	4877
FER	9609	11711	12043	13314
IL20RA	3396	3452	3701	3922
PALD1	4610	4610	4610	4610
CENPS-CORT	1310	1315	1530	1967
MICOS10-NBL1	2111	2111	2204	2204
HSD11B1	1428	1440	1462	1511
MIR6738	64	64	64	64
GAPVD1	8791	9059	9268	12112
PTPN3	6894	6569	8765	9722
FAM120AOS	4846	5183	6043	6930
SUOX	2324	2319	2445	2445
FAM234B	4711	4711	4711	4711
TEAD4	1558	1581	1710	1723
DCXR	837	837	852	852
CHORDC1	3198	3198	3327	3384
SLC25A44	3130	2990	3663	3824
LDB3	3474	3494	5378	6525
INCA1	1355	1324	1553	1553
SEC23B	3118	3044	3351	3539
IFIT1	4428	4411	4614	4728
PAQR6	1928	1961	2277	2401
AP2A1	3390	3390	3423	3423
TEAD2	2119	2152	2212	2309
ARHGEF2	4180	4154	4409	4751
ACMSD	1278	1278	1307	1357
GPM6B	4109	4474	4995	5313
ZNF875	2850	2891	3483	5558
ZFP30	5963	5919	6199	6341
DUSP23	729	699	797	797
CSGALNACT2	3654	3657	3930	3930
NUP88	3673	3673	3736	3736
CD1A	1694	1694	1808	1884
SIK1B	4747	4747	4747	4747
TMEM79	2190	2190	2226	2308
PMVK	1009	979	1198	1281
GLMP	1533	1475	1851	1851
SPAST	5163	5163	5213	5213
FTH1P3	954	954	954	954
TPTEP1	1430	1430	1430	1430
TERC	451	451	451	451
TUG1	6972	7499	7652	7666
DISC2	3892	3892	3892	3892
H19	1976	2342	2348	2597
ACSS1	3313	3570	3676	4020
EVA1C	1616	1666	1834	2185
B3GNTL1	3105	3096	3620	4515
PRDM15	6222	6525	7512	7640
ZNF525	4295	5218	6131	6444
ENPP5	3728	3816	3843	3878
HABP2	2980	2980	2984	3115
RTN2	1813	2054	2273	2273
SLC5A11	2312	2323	2672	2921
OR6F1	927	927	927	927
OR9G4	984	984	984	984
C1orf61	788	783	1279	1785
AHCY	2656	2731	3281	3728
GPATCH4	2118	2118	2155	2155
LOC101928177	385	385	385	385
YPEL4	1802	1802	1914	1914
PDP2	7074	7095	7199	7224
SYT4	3936	3936	3936	3936
ZNF398	5472	5472	5500	5814
PPIL3	1172	1172	1178	1272
WDR54	1076	1136	1180	1180
EIF5A	1280	1274	1340	1747
PLEK	2760	2760	2760	2760
DOK2	1613	1678	1766	1766
COX8A	494	494	494	494
STX2	3000	3378	3471	3865
SUFU	3413	3413	4948	5350
PDE1B	3089	3044	3463	3762
RAB3IL1	2232	2232	2325	2569
RABGEF1	3767	3844	4778	7371
SCGB1C2	358	358	358	358
CHST8	2284	2225	2479	2900
IKZF4	5237	5227	5384	5910
HCCS	2259	2252	2310	2310
SPACA4	973	973	973	973
SLC30A7	8046	8046	8204	8204
ADGRG5	3452	3334	3806	3806
ELAVL4	3575	3849	4052	6366
LILRA2	4043	4724	5095	5279
CYCSP52	310	310	310	310
SAYSD1	4221	4221	6425	6425
ACTN4	4982	4982	4990	5142
CENPO	4057	4001	4435	4435
MCPH1	5170	3833	8150	11712
DCAF16	3659	4446	4703	6310
VWA3B	3936	3943	5260	5679
TENM3	10923	10923	10923	10923
PSMC2	1850	1850	2712	3210
PSMB1	891	891	891	891
ATP6AP1L	3994	3871	4371	4522
NFXL1	3817	3821	3903	4151
LOC105371458	1048	1048	1048	1048
JAGN1	1688	1688	1741	1741
PCBP4	2000	1966	2156	2255
KIRREL1-IT1	1519	1519	1519	1519
LINC01704	835	835	835	835
TBC1D1	4050	3344	5703	6896
KANSL1	5171	5132	5331	5583
PHF19	2825	3482	4160	4632
IFNAR1	6075	6075	6075	6075
HCN4	6922	6922	6922	6922
C6orf132	6385	6385	6385	6385
CBY3	868	868	868	868
INAVA	4112	4122	4132	4303
TMEM217	1707	1520	2302	3217
SPOP	2984	3019	3139	3564
SLC25A11	1709	1691	1779	1812
PLA2G10	959	959	1017	1017
POTEJ	3370	3370	3370	3370
KLK15	1243	1247	1309	1309
TNNT1	1082	1087	1125	1206
KCNS2	5288	5288	5288	5288
WFS1	3638	3638	3640	3640
COL18A1	5956	5882	6587	6759
TAF15	2157	2157	2162	2162
ACKR3	2012	2012	2012	2012
AKR1B10	1619	1619	1619	1619
ADARB1	4570	3998	7022	7372
PLEKHA5	4402	4393	6552	9543
SLC39A5	1972	1972	1979	2093
CADM3-AS1	3294	3294	3294	3294
MRPS5	3232	3227	3316	3411
OR10J4	1123	1123	1123	1123
GNB3	1655	1655	1657	1657
GNB1	3118	3145	3163	3194
TTLL12	3386	3386	3386	3386
ZNF625	1696	1696	1698	1698
AKR1B15	1780	1591	2319	3363
SNHG28	2150	2125	2336	2336
MIR4259	101	101	101	101
C2orf42	2683	2683	3010	3498
GK	4524	4524	4577	4577
HK2	5451	5451	5625	5794
NR6A1	7056	7053	7065	7065
NRG4	3212	3212	3212	3212
AADACL3	3946	3946	4055	4055
TOR1B	2213	2169	2928	2928
FLYWCH1	4174	4992	4995	5060
LOC729867	1578	1578	1578	1578
TMEM150A	1610	1553	1791	1884
ALG2	2887	2887	2967	2967
ZNF248	3861	3963	5916	13692
FCRL3	3031	2764	4638	4656
CUL1	3256	3172	3524	4369
LOC100287049	552	552	552	552
ARNT	4714	4724	4750	4834
FBXL12	1852	1860	1945	2015
MIR1202	83	83	83	83
MIR1277	78	78	78	78
MIR1275	80	80	80	80
MIR1260A	73	73	73	73
MIR1285-2	88	88	88	88
MIR1285-1	84	84	84	84
MIR548J	112	112	112	112
MIR548E	88	88	88	88
DENND1C	2740	2740	2795	2795
CEP76	2670	2722	2895	3163
TMEM205	875	825	1255	1295
OR5I1	945	945	945	945
SLC17A3	1935	1935	2052	2052
SLC39A13	2206	2365	2429	2709
VIPR2	3901	3812	4278	4648
CD48	1308	1308	1520	1906
TMEM128	1417	1243	1767	1767
RD3	4264	4264	4266	4266
KCNJ18	2198	2198	2198	2198
EHBP1	4953	4994	5416	6043
SEC16A	9000	9000	9018	9343
CENPBD1	3058	3058	3058	3058
DRC1	2487	2487	2487	2487
PPP1R35	893	893	962	962
MRGPRF	2207	2207	2283	2283
LOC101928372	2136	2136	2136	2136
MYO5C	6976	6976	6976	6976
IL1RL2	2386	2448	2575	2850
OSBPL6	9865	10559	10727	10919
INTS6	9323	7492	15451	22235
CLN6	2228	2228	2228	2228
FCRL2	2222	2408	2589	2589
DDX52	6434	6434	6492	6492
ANKRD12	11280	11284	11341	11595
CORO1B	3171	3171	4411	4480
LOC112543491	2793	2793	2793	2793
TMX3	3642	4656	4789	5420
INSYN2A	4836	4836	4836	4836
EML6	7852	7852	7852	7852
NLRP7	3336	3337	3421	3421
LRRC8A	4401	4354	4623	4762
C12orf56	4243	4243	4483	4483
TDRD6	7301	8887	8967	10349
PHYHIPL	3440	3440	3521	3677
MBOAT7	2159	2191	2472	3104
GABRB3	4993	5641	5878	7423
PRSS23	3479	3708	5452	11117
PLD5	7218	8478	8900	9036
PAQR3	9939	9952	10165	10394
TMEM150C	3111	3178	3186	3269
TOMM40L	2731	2790	2809	2911
MIR5187	76	76	76	76
ESRP1	3634	3646	3768	3768
IGSF9	4035	4035	4059	4059
ENTPD6	4038	4095	4334	4844
FAM72A	1900	1680	2400	2622
DPF1	2317	2329	2359	2515
CFHR5	2814	2814	2814	2814
UNC45B	5565	5625	5671	5679
OR51E2	2792	2792	2792	2792
GJA9	2281	2281	2281	2281
CCDC34	1786	1786	2120	2945
NPL	2374	2782	3027	3166
COL13A1	2961	2965	3148	3372
MTMR3	8923	8908	8987	9019
GVQW3	5704	5360	8770	17148
CLEC4O	469	469	469	469
AQP7	2367	2457	3199	4140
OR52N5	1034	1034	1034	1034
FOXO3B	5902	5902	5946	5946
DAB1	4228	5283	5672	7726
SLC35C2	5336	5757	6152	6185
FCGR2C	2488	2488	2488	2488
HSPA7	2493	2493	2493	2493
C3orf67	2624	2938	4121	8149
RPS27A	977	970	1068	1373
CT45A6	1008	1008	1008	2016
ABCC5	3901	3891	5903	7197
FAR2	3528	3538	3637	3767
RPL31P11	1548	1548	1548	1548
BOC	3815	4570	4695	6327
ZNF189	3216	3222	3286	3455
FCRLB	1732	1667	1996	2024
IGSF1	3422	4431	4596	5649
SELENOP	2217	2269	2328	2357
ZNF208	2674	1539	9088	11767
MIR4654	76	76	76	76
MIR556	95	95	95	95
C1orf226	4139	4139	4156	4319
CENPB	2890	2890	2890	2890
BICRA	5739	5739	5739	5739
DBNDD1	2097	2081	2320	2824
GALT	1518	1518	1756	1842
GZMM	922	922	924	924
PACRGL	5603	6001	6308	7018
STK33	2607	2591	3154	5051
GOLGA6L10	3090	3090	4449	5782
IL1R2	1395	1462	1566	1776
SLC10A3	1909	1860	2095	2095
APOBEC3H	954	1027	1123	1146
ARMC8	4261	4480	4823	6657
FAM90A1	2437	2437	2516	2516
SLC52A1	2395	2395	2415	2415
WRAP53	1842	1828	1963	2292
SLMAP	4349	4081	5509	7131
LOC101928404	2633	2633	2633	2633
SYNE2	12229	12229	21877	22266
LOC100422212	2122	2122	2122	2122
FAM166B	1016	1013	1054	1086
TNFAIP2	4222	4226	4683	4683
LINC00161	692	692	870	870
B3GALT5-AS1	1400	1400	1451	2192
POGZ	6455	6469	6655	6655
THSD4	8652	8652	9145	9391
CHRDL2	1721	1666	1963	2811
RHEBL1	1173	1173	1241	1241
SDC1	3229	3229	3293	3337
C12orf65	1687	1608	1901	1947
SLITRK2	5579	4150	8417	8427
LRRC52-AS1	1803	1803	1803	1803
SRRM1	4624	3926	5884	6097
RPN2	2424	2466	2610	2610
LOC440700	1210	1210	1210	1210
APOL1	2860	2809	3017	3056
FAM3D	1245	1245	1245	1245
SLCO4A1-AS1	1423	1423	1423	1423
TMCO1-AS1	2147	2147	2147	2147
FAM78B	5222	5980	6448	7227
LITAF	2552	2552	2634	2926
MIR4779	83	83	83	83
MIR4725	90	90	90	90
LINC01675	701	701	701	701
MIA2	3558	3516	5575	8698
PLCG1	7090	7090	7092	7092
ZBTB26	3674	4451	4455	4657
CFHR3	1548	1548	1640	1640
HPR	1242	1242	1242	1242
MARVELD1	3213	3213	3213	3213
DIAPH3	3877	4531	4741	5135
MTMR1	3838	4334	4563	5249
LINC01363	1854	1854	1854	1854
ZNF211	3844	3894	4049	4249
FAM111A	4409	3830	6404	6427
SIGLEC6	3540	3544	3647	3680
IL1RN	1787	1814	1905	2076
PSMB8	1225	1225	1327	1525
UBE2H	5004	5069	5162	5162
CTDP1	4633	4726	5703	5956
SCAMP2	2517	2517	2582	2582
SF3A2	1619	1619	1619	1619
NCS1	5108	5108	5164	5376
RPTN	3569	3569	3569	3569
PPP4R3B	5388	5409	5505	5505
CTDSP1	2508	2522	2525	2772
IL6R	4490	5670	5764	6565
MIR1255B2	67	67	67	67
CLDN14	1595	1513	1973	2591
ESYT1	4262	4262	4277	4277
CCDC57	4337	3216	6771	7977
HHLA2	2457	2440	2665	2912
ANKRD36BP1	1850	1850	1850	1850
CDC6	4564	4564	4564	4564
MIR557	98	98	98	98
LOC100505918	2441	2441	2441	2441
LOC101928565	619	619	619	619
PPP6R2	4085	4047	4389	4395
LINC00626	955	955	955	955
LINC00970	1129	1129	1129	1129
LOC101928596	567	567	567	567
NME7	1594	1608	1702	1702
SLC44A5	4184	4054	4551	6610
ATL2	4296	4289	5101	6721
TOP2A	5695	5695	5695	5695
ARHGAP42	8306	8306	8456	8456
CYP51A1	3042	3042	3151	3239
PVT1	1940	1940	1940	1940
METTL18	1431	1426	1462	1519
ROR1	4075	4075	5856	6575
ATXN7	6809	6849	7225	7474
DNAJC8	1823	1823	1884	1884
MSR1	3422	3595	3678	5604
CPSF4	1744	1752	1823	2051
NUDT3	9900	9900	9900	9900
PNPLA6	4466	4460	4535	4968
CYP19A1	4439	4410	4573	5614
TMEM106C	1511	1524	1539	1588
MIR3119-1	85	85	85	85
MIR3119-2	85	85	85	85
LINC01681	967	967	967	967
LINC01142	1725	1725	1725	1725
GORAB-AS1	634	634	634	634
MYOT	1990	1917	2268	2268
PLIN3	2219	2229	2232	2232
MIR1295A	79	79	79	79
MIR1295B	60	60	60	60
MBD3L2B	650	650	650	1300
CD96	3125	3304	4375	5133
PSMC3	1580	1580	1580	1580
YDJC	1303	1316	1502	1502
B3GALNT1	3585	3550	4009	4350
OR10G6	999	999	999	999
TOP1P1	2429	2429	2429	2429
TMEM230	1613	1682	1782	2818
ARAP2	7516	7513	7557	10168
AMY2B	2242	2242	2242	2242
CLPTM1	2484	2480	2504	2685
PAQR4	2497	2484	2685	2685
ABCC10	4374	4467	5088	5584
DNM3-IT1	391	391	391	391
DNM3OS	6004	6004	7957	7957
NFE2L2	2814	2885	2984	3584
KRTAP23-1	208	208	208	208
KRTAP15-1	591	591	591	591
KRTAP13-3	547	547	547	547
C1orf105	937	937	988	1285
SUCO	5388	5562	5918	6109
SIN3B	4777	5038	5134	5544
MYO1E	8644	8644	8644	8644
PDLIM5	4000	4728	6219	9175
TBC1D5	6642	6601	7854	9098
LOC100506023	5619	5619	5619	5619
LOC101928673	1819	1819	1819	1819
HK3	3082	3082	3082	3082
TLL2	6769	6769	6769	6769
HIF3A	4817	5822	5864	6378
CENPL	2452	2536	2674	2787
PRAMEF27	1436	1436	1437	5746
TMEM59	5618	6457	6473	7035
APOL3	2632	2212	3633	4099
PPP2R3C	1877	1879	2067	2068
RIPOR1	4203	4123	4477	4711
STXBP2	1884	1880	1918	1974
GPX5	1481	1523	1587	1865
LOC100128966	551	551	551	551
FENDRR	2887	2887	3099	5568
SRSF6	4487	4487	4621	4621
ORMDL1	3563	4009	4173	5795
LGR4-AS1	942	942	1348	1574
SNORD81	77	77	77	77
SNORD47	77	77	77	77
SNORD80	71	71	71	71
SNORD79	81	81	81	81
SNORD78	65	65	65	65
SNORD44	61	61	61	61
SNORA103	86	86	86	86
SNORD77	70	70	70	70
SNORD75	60	60	60	60
SNORD74	72	72	72	72
ANKRD20A3	3930	3930	3930	11790
TMEM263	3420	3440	3534	3947
HES6	1352	1362	1368	1368
KIFAP3	3183	3007	4106	4679
SPATA5L1	2583	2591	2786	2904
KIAA1586	2877	2888	2942	3109
RDM1	915	930	1162	1631
CCDC68	4057	4057	4085	4159
CXXC4	4947	4947	5567	5643
RABGAP1L	4950	6238	8848	15138
ENTPD1	11298	12387	12630	13012
SCP2	2155	2224	2759	3781
CD3E	1361	1361	1361	1361
ZDHHC21	9169	9178	9357	9671
HMGA2-AS1	2354	1185	4901	6304
CPA5	1948	1956	2038	2052
ALG13	3192	2778	4177	6786
STPG4	1445	1445	2069	2314
LOC101928696	670	670	670	670
APBA2	3574	3688	4085	5252
P2RY10	3439	3453	3517	3655
STAT2	4398	4398	4404	4404
GAPT	2927	3046	3170	3269
SMIM21	2205	2205	2576	4010
PARG	3870	4053	4385	4389
CNKSR3	6535	3049	21078	21730
BNC2	12711	12738	12808	12977
A4GALT	1556	2092	2164	2576
SALL4	4553	4553	5209	5209
LINC01657	1805	1805	1805	1805
ALG11	5928	5928	6510	6510
NOMO3	4320	4320	4320	4320
ACP1	1315	1512	1580	1882
B4GALT7	1698	1698	1698	1698
KLHL8	5334	5402	5663	5864
SCARNA3	144	144	144	144
DDB2	1564	1564	1848	1848
DENND1A	4083	3615	5224	8363
CP	3929	3929	4452	5016
CST6	592	592	592	592
DYNC2LI1	1657	1402	2174	3014
BRF1	3095	3436	3670	5395
NLGN3	3789	3890	3975	3985
NDUFAF3	938	921	1014	1355
TLE5	1778	1795	1798	2065
LINC01645	677	677	677	677
LINC01741	1666	1666	1666	1666
CDKN2A	1276	1254	1451	2582
ALOX5AP	1066	1066	1227	1270
ALCAM	3569	3803	4701	6360
AKT2	5134	5166	5250	5250
AMBP	1261	1261	1261	1261
ALDH9A1	2511	2511	2523	2628
USP42	4701	4701	5090	5366
MDP1	699	723	781	781
SP1	7600	7594	7676	7717
TSNAXIP1	2290	2268	2664	2744
DOK7	2412	2554	2566	3853
TBCB	1285	987	1931	2090
CRYZL2P	2745	2787	2977	2977
RASAL2-AS1	2338	2338	2338	2338
AMER2	10272	10272	10605	10605
P2RX7	5115	5118	5336	5489
TUBGCP3	3247	3300	3879	5179
MIR4424	86	86	86	86
OR4B1	930	930	930	930
OR8B2	942	942	942	942
FAM131B	4358	4343	4591	4973
TRMO	1779	1671	2750	4047
URM1	3149	2817	4369	4410
SNX18	4615	5223	5376	6654
CACNB4	8055	8066	8379	8972
PRKAG2	2707	2718	3279	4330
HPS1	3117	3529	3783	4210
MTBP	3067	3067	3067	3067
PPM1F	5149	5149	5149	5149
TVP23C-CDRT4	2688	2688	2761	2761
PRSS36	2703	2796	2811	2811
TRPC7	2758	2752	2935	2935
CLPSL1	705	705	813	1097
SIRPB1	2063	2108	2464	4668
PDIA3	3680	3680	3680	3680
RAB30	9839	9821	9960	10093
BRD1	4578	4524	4911	5402
CCL4L2	769	779	1252	2031
CAPN1	2942	2928	3031	3155
PLBD2	4739	4739	4787	4787
SLC4A10	5593	5582	5847	6041
C19orf44	2977	2977	3346	3964
LHX4-AS1	2657	2657	2657	2657
MIR3121	77	77	77	77
NME9	2045	2065	2406	3398
TMEM207	1447	1447	1447	1447
TLK2	5452	5441	5687	6301
ERC1	9180	9287	9466	9608
KIAA1614-AS1	1448	1448	1448	1448
AP4S1	3031	2985	4596	6323
AUH	1657	1655	1795	1795
ARHGEF6	5043	5043	5230	5529
CCDC28A	1496	1496	1496	1496
LINC01732	540	540	540	540
LINC01699	259	259	259	259
SLX4IP	6052	6052	6052	6052
ANGPT2	5217	5267	5270	5270
IKBKB	3923	3910	4008	4187
ECT2	4334	4394	4723	4882
ZSCAN31	2950	3006	3553	4484
LINC01344	571	571	571	571
RFESD	2642	2642	2800	3778
FASTKD1	4270	4155	4929	4929
LINC00272	738	738	738	738
TMEM145	2047	2047	2298	2298
ERLIN1	3206	3190	3487	3559
LINC01686	1491	1491	1491	1491
LINC01688	256	256	256	256
IL4I1	2222	2312	2370	2458
PIGK	4600	4600	4600	4600
SERPINI2	1723	1723	1769	1769
LOC647070	4543	4543	4543	4543
LCE1F	598	598	598	598
LCE1E	1199	1199	1199	1199
SPAG11B	651	664	794	2119
IER3IP1	3678	3678	3678	3678
ZNF589	3366	3366	3366	3366
DCLRE1B	3525	3536	3755	3845
COL11A2	4974	6134	6422	6607
LAMC1-AS1	466	466	466	466
COX7B2	553	553	553	553
TIMM13	1664	1664	1664	1664
CD2AP	5409	5409	5409	5409
SMG7-AS1	2455	2455	2455	2455
PARL	1393	1375	1557	1557
TGFB3	3075	3450	3494	3968
ELF2	3773	4012	4166	4630
DNAJC5B	2600	2108	3652	3739
PTGES	1751	1751	1751	1751
SPANXA1	418	418	418	836
CA8	4997	5639	5785	8512
FOXO6-AS1	394	394	394	394
GALK2	4294	5175	5305	5985
FAM204A	13797	13797	13898	13898
RORA	10871	10900	10998	11552
FKBP8	1759	1759	1761	1761
POC1B-GALNT4	5004	5004	5280	5495
KCNAB2	3919	3875	4176	4680
SERF2	2859	2845	3429	3801
PAM	5018	5076	5954	6489
PTK2B	4224	4119	4719	4736
SORBS1	6141	5896	7270	7537
HES5	1324	1324	1324	1324
ARHGAP24	4276	4091	4827	5855
MAPK10	8211	8730	8757	9154
MEIOB	1823	1823	1867	1867
KIF16B	5018	5123	5276	6260
SMARCA2	4105	5520	5866	6776
MTRNR2L1	1555	1555	1555	1555
PPP1R14A	519	519	560	560
CTH	2047	2044	2090	2140
HDGF	2196	2196	2309	3023
NDUFA7	676	676	772	900
NUP43	3012	3012	3830	3830
CHD9	12193	11859	13152	13892
WDR25	1792	1996	2237	2380
APTX	1999	2010	2268	2721
LINC01633	1086	1086	1086	1086
TRMT1L	4187	4187	4359	4491
FLT4	4892	4484	5833	6369
SWT1	3816	3816	3838	3943
ZNF473	4532	4518	4640	4640
ARHGDIA	1793	1757	2159	2334
GS1-279B7.1	666	666	666	666
LINC01350	603	603	603	603
PGK1	4812	4812	4812	4812
PLG	2368	2368	3537	4218
SRPK1	4369	4369	4390	4458
KCNAB1	3861	3835	4518	5316
DDX18	3753	3753	3753	3753
RTCA	2604	2604	2624	2624
PAX4	1970	1970	2234	2234
TRIM26	3407	3407	3518	3518
ODR4	3815	3820	3827	3900
TSPAN9	4303	4303	4322	4351
CIB1	1026	1049	1141	1578
MIR18A	71	71	71	71
MIR19A	82	82	82	82
ACTA2-AS1	2043	2043	2043	2043
PACERR	793	793	793	793
TEDC1	1679	1620	1920	2258
RBM20	7293	7293	7293	7293
EIF2AK1	4436	4436	4462	4465
LINC01036	779	779	779	779
LINC01037	424	424	424	424
TRIM3	2909	2941	3046	3404
PELI3	2601	2595	2704	2863
KLF4	2987	2987	3038	3038
LINC01351	1236	1236	1342	1423
LINC01680	330	330	330	330
PRRT1B	1897	1897	1897	1897
ATAD2	5546	5546	5546	5546
MIR4426	61	60	63	63
LINC01032	435	435	435	435
CMKLR1	5321	5343	5488	5608
CTNNA3	8030	10650	10696	12418
TRIM69	1299	1258	1735	1743
ISCU	2406	2228	3305	3401
CEP63	4761	5434	6086	6776
ZNF763	2855	2865	2889	2889
CHRDL1	3863	3860	4015	4073
WIPI2	4419	4400	4618	4900
DDX17	4764	4764	4767	4767
SULT1A2	1155	1112	1324	1521
NES	5568	5568	5568	5568
IQCE	4198	2500	6857	7198
SLC26A11	2819	2851	2888	3018
SCARNA18B	135	135	135	135
MUSK	7974	8021	8294	8360
HNF1B	2633	2712	2790	2790
ARMC7	1522	1646	2151	2802
LYRM7	6140	6137	6219	6219
TAF4B	4796	4766	4871	4886
GLRX2	953	976	1134	1349
MS4A7	2876	2890	2955	3008
MIR1278	81	81	81	81
LINC01031	779	779	779	779
LINC01724	1176	1176	1176	1176
CD22	3059	3099	3274	3292
ATP12A	4080	4080	4427	4445
SPACA7	759	759	759	759
SFR1	1467	1467	1503	1529
ADAMTS17	6329	6329	6329	6329
ABHD16A	2001	2001	2149	2324
HIPK3	7421	7475	7613	8054
EFCAB13	3746	3746	3956	4705
HSPB3	679	679	679	679
AIG1	2270	2188	3642	10264
ABCG4	3733	3755	3811	3978
ICAM3	1816	1883	2052	2349
C19orf54	2290	2444	3302	3308
LPAR1	3765	3753	3969	4948
TPGS2	2267	1654	3946	6548
CCL3L3	783	783	784	1567
C16orf87	6841	6808	7162	7542
MELK	2335	2321	2523	2609
GFER	2365	2365	2365	2365
GEM	2125	2125	2183	2183
GPR162	1993	1993	2494	2494
AP5Z1	5479	5529	5567	5567
HK1	3753	3755	3999	4816
ATP2A3	4699	4783	4854	4885
RPL5	1020	1020	1028	1082
DEPDC5	5228	5344	6554	7242
SALL2	3475	3844	4844	5117
DAB2	4441	4441	4538	4601
DLGAP5	2926	2926	2972	2972
MN1	7814	7814	7814	7814
MMP13	2714	2714	2714	2714
MMP12	1814	1814	1814	1814
FTHL17	809	809	809	809
RWDD4	2599	2599	2601	2601
TCF20	7295	7295	7410	7410
TNFAIP8L1	3830	3830	3845	3959
YBX3	1827	1827	1931	1931
MIR181A1HG	604	604	604	604
LINC01222	768	768	768	768
LINC01221	662	662	662	662
PIWIL2	4970	5005	5113	5576
FRMD1	5011	5465	5699	6773
LINC00862	1417	1417	1417	1417
DGKI	8318	6758	13232	13594
LOC150051	834	834	834	834
SCN1A	12937	12935	13112	13307
OARD1	1292	1222	3184	4082
KDM5B	9521	9516	9759	10447
PRRG2	1486	1486	1570	1570
HMGCS1	5329	5350	5473	5530
TNIK	8754	9727	9892	10184
SLC7A10	1946	1946	1946	1946
LMTK2	8974	8974	8974	8974
MROH3P	2284	2284	2284	2284
DLG3	5221	5089	6041	6815
TMEM235	2396	2410	2491	2508
COG2	2930	2930	2932	2932
ACTN1	3696	3656	3791	3791
PLAU	2453	2352	2665	2693
GPN1	1862	1727	2445	2634
VEGFC	2259	2259	2259	2259
LTB	869	869	892	893
TP73	4955	4953	5192	5571
CNIH1	4735	4735	4735	4735
ABCD4	2934	2935	3206	3262
NOTCH2NLA	5314	5314	5318	5318
MMS22L	8590	8574	8683	8683
SNAPC4	4658	4658	4658	4658
DIS3L2	2907	3293	3866	5326
PWWP2A	4037	4015	4679	7236
AADAT	2167	2156	2250	2503
FBRS	5196	5196	5196	5196
SURF2	831	831	833	833
PPWD1	2074	2083	2197	2203
EIF2B4	1740	1746	1813	2074
TAF8	6678	6678	6678	6678
CAMKK1	3174	3500	3564	4480
ZNF806	2378	2378	2890	4572
ZNF683	1690	1672	1729	1732
TNS1	10167	10025	10473	10473
DDX59	2087	2183	2258	3037
ADAM15	2837	2862	3078	3379
RASSF6	5845	5838	5926	6121
RLN1	1009	1009	1009	1009
PHLDA3	2187	2187	2749	2847
SORBS2	5073	4957	6220	8577
DMPK	2802	2783	3243	3638
RPS10P7	689	689	689	689
PUS10	3808	3779	4022	4285
IPO9-AS1	842	842	842	842
MIR5191	120	120	120	120
MFSD8	4403	4401	4597	4612
GREB1	4466	2458	8555	10576
MIR6739	75	75	75	75
SHISA4	1514	1514	1653	1661
PRIMPOL	2075	2072	2321	2363
SNORA70H	135	135	135	135
AFF1	9118	9339	9409	9722
